Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
Africa,Algeria,2008,23.6,4.3,-1,1.93,1.83,34619419,817018,148864,-33927,668155,634228
Africa,Algeria,2009,24.1,4.3,-1,1.98,1.88,35268128,848904,151653,-33857,697251,663393
Africa,Angola,2008,47.2,11.9,2,3.53,3.73,20995867,991005,249431,41152,741574,782726
Africa,Angola,2009,47,11.5,2.8,3.54,3.82,21803771,1023905,251179,60178,772726,832904
Africa,Benin,2008,39.8,9.7,0,3.01,3.01,8532547,339595,82680,0,256915,256915
Africa,Benin,2009,39.2,9.5,0,2.98,2.98,8791832,344816,83083,0,261733,261733
Africa,Botswana,2008,26.4,12.4,3.3,1.4,1.73,1911356,50460,23643,6250,26816,33066
Africa,Botswana,2009,25.8,12,3.2,1.39,1.71,1944488,50246,23295,6242,26951,33192
Africa,BurkinaFaso,2008,44.4,11.6,-4.2,3.28,2.87,14753815,655660,171144,-61523,484515,422992
Africa,BurkinaFaso,2009,43.9,11.3,-3.7,3.27,2.9,15185326,667091,171139,-55882,495953,440071
Africa,Burundi,2008,43.8,12,0,3.18,3.18,8552574,374774,102460,0,272314,272314
Africa,Burundi,2009,43.8,11.6,0,3.22,3.23,8831095,387067,102352,0,284715,284715
Africa,CaboVerde,2008,22.6,6.6,-0.7,1.61,1.54,493619,11176,3238,-341,7937,7597
Africa,CaboVerde,2009,22.2,6.5,-0.7,1.57,1.5,501182,11131,3248,-341,7884,7543
Africa,Cameroon,2008,39.6,12.4,1,2.72,2.81,19704727,779716,243945,18719,535772,554491
Africa,Cameroon,2009,38.9,12,0.9,2.69,2.77,20262861,787820,243762,17831,544058,561889
Africa,CentralAfricanRepublic,2008,37.4,16,0,2.14,2.14,4641320,173539,74354,0,99185,99185
Africa,CentralAfricanRepublic,2009,37.1,15.6,0,2.15,2.15,4741916,175925,73974,0,101951,101951
Africa,Chad,2008,49.8,13.8,3.1,3.59,3.9,11135984,554127,154122,34076,400005,434081
Africa,Chad,2009,49.2,13.5,0.6,3.57,3.63,11562994,568784,155754,6822,413030,419852
Africa,Comoros,2008,36.7,9.2,-2.9,2.75,2.46,673599,24741,6217,-1974,18524,16550
Africa,Comoros,2009,35.4,9,-2.9,2.65,2.36,690013,24426,6176,-1973,18251,16277
Africa,Congo(Brazzaville),2008,40.7,11.4,-3.6,2.94,2.58,3910032,159217,44457,-13881,114759,100879
Africa,Congo(Brazzaville),2009,40.6,11.2,21.2,2.94,5.06,4063165,164924,45507,86017,119416,205434
Africa,Congo(Kinshasa),2008,39.8,11.9,-0.2,2.79,2.77,66187146,2632925,786965,-11252,1845960,1834708
Africa,Congo(Kinshasa),2009,39.1,11.6,-0.7,2.75,2.68,68015710,2659414,789662,-47611,1869752,1822141
Africa,Coted'Ivoire,2008,38.4,11.8,0.8,2.66,2.74,20629057,791537,242391,15678,549145,564824
Africa,Coted'Ivoire,2009,36.5,11.4,0.8,2.51,2.59,21186017,773290,241097,16949,532193,549142
Africa,Djibouti,2008,27.1,8.7,3,1.84,2.15,709196,19226,6156,2149,13070,15219
Africa,Djibouti,2009,26.3,8.5,3.8,1.78,2.16,724622,19087,6181,2775,12906,15681
Africa,Egypt,2008,28.7,5.4,-0.7,2.33,2.26,77516306,2222392,420138,-51936,1802254,1750318
Africa,Egypt,2009,29.4,5.3,-0.8,2.41,2.34,79317792,2334323,422764,-59488,1911559,1852070
Africa,EquatorialGuinea,2008,37,9.7,0,2.73,2.73,616459,22834,5992,0,16842,16842
Africa,EquatorialGuinea,2009,36.5,9.5,0,2.7,2.7,633441,23133,6011,0,17122,17122
Africa,Eritrea,2008,36.1,8.6,4.1,2.75,3.15,5105526,184054,43908,20882,140147,161028
Africa,Eritrea,2009,35.3,8.4,-5,2.69,2.2,5243580,185256,44151,-26061,141105,115044
Africa,Eswatini,2008,32.6,14.9,-18.5,1.78,-0.08,1016974,33153,15102,-18834,18051,-783
Africa,Eswatini,2009,31.7,14.8,-15.7,1.69,0.12,1017183,32255,15044,-15990,17211,1221
Africa,Ethiopia,2008,40.4,11,-0.3,2.94,2.91,81135648,3279503,894926,-26775,2384577,2357802
Africa,Ethiopia,2009,39.9,10.5,0.2,2.93,2.95,83548430,3331911,880600,15874,2451311,2467185
Africa,Gabon,2008,30.8,9,14.7,2.18,3.64,1512482,46509,13612,22158,32896,55054
Africa,Gabon,2009,30.4,8.8,14.9,2.17,3.66,1568721,47720,13742,23421,33978,57400
Africa,"Gambia,The",2008,36.5,8.1,-3,2.84,2.54,1671296,60952,13521,-4997,47431,42434
Africa,"Gambia,The",2009,35.7,8,-2.9,2.78,2.49,1713278,61198,13655,-4883,47543,42661
Africa,Ghana,2008,33.1,8.4,-3.3,2.47,2.14,22554470,746102,189458,-74430,556644,482215
Africa,Ghana,2009,32.8,8.2,-2.4,2.46,2.22,23051965,756796,189487,-54633,567309,512676
Africa,Guinea,2008,38,11.8,-0.4,2.62,2.58,9090759,345358,107089,-3727,238269,234542
Africa,Guinea,2009,37.6,11.4,-0.7,2.62,2.55,9327011,350416,106328,-6156,244088,237932
Africa,Guinea-Bissau,2008,41.2,12.1,-5.2,2.91,2.4,1446297,59631,17500,-7477,42131,34653
Africa,Guinea-Bissau,2009,40.3,11.7,-5.1,2.86,2.36,1481090,59703,17284,-7480,42418,34939
Africa,Kenya,2008,38.1,9.1,1.4,2.9,3.04,38540806,1469176,351492,54728,1117683,1172411
Africa,Kenya,2009,36.8,8.5,1,2.83,2.93,39707699,1462832,337515,38516,1125316,1163833
Africa,Lesotho,2008,27.8,18.6,-9.2,0.93,0.01,1915469,53269,35551,-17603,17718,115
Africa,Lesotho,2009,27.5,17.1,-8.9,1.04,0.15,1916134,52694,32785,-17130,19909,2778
Africa,Liberia,2008,41.7,10.3,-0.4,3.14,3.1,3602820,150274,37145,-1333,113129,111796
Africa,Liberia,2009,41.2,9.9,-4.7,3.13,2.66,3708025,152734,36821,-17242,115913,98671
Africa,Libya,2008,20.1,3.6,1.8,1.65,1.83,5894108,118472,21278,10845,97194,108039
Africa,Libya,2009,19.8,3.6,1.8,1.62,1.8,6002252,118965,21608,10864,97357,108221
Africa,Madagascar,2008,35.6,7.8,0,2.78,2.78,19728709,702934,154476,0,548458,548458
Africa,Madagascar,2009,35.3,7.7,0,2.76,2.76,20282443,715159,156175,0,558984,558984
Africa,Malawi,2008,43.9,11.7,1.6,3.22,3.37,14184967,622862,166390,21987,456472,478459
Africa,Malawi,2009,43.5,11,1.5,3.25,3.4,14673498,637563,160822,22010,476742,498752
Africa,Mali,2008,47.4,12.7,-3.7,3.47,3.1,13636273,646359,173726,-50591,472633,422043
Africa,Mali,2009,47.2,12.4,-3.5,3.48,3.13,14067464,663703,173733,-49658,489970,440312
Africa,Mauritania,2008,34.6,9.3,-1,2.52,2.42,3054933,105548,28533,-2994,77015,74021
Africa,Mauritania,2009,34.1,9.2,-1,2.5,2.4,3129486,106747,28666,-3004,78081,75076
Africa,Mauritius,2008,14.6,6.6,-0.1,0.81,0.8,1274189,18654,8346,-115,10308,10194
Africa,Mauritius,2009,14.4,6.6,-0.1,0.78,0.78,1284264,18506,8463,-77,10043,9966
Africa,Morocco,2008,20,4.7,-4.1,1.53,1.12,30940455,619428,146658,-127165,472770,345605
Africa,Morocco,2009,19.7,4.7,-4,1.5,1.1,31285174,616944,148292,-124828,468652,343824
Africa,Mozambique,2008,40.6,14,-4.4,2.66,2.22,21439234,870219,299506,-94547,570712,476165
Africa,Mozambique,2009,40.2,13.6,-4.3,2.66,2.23,21921697,881910,297916,-94702,583994,489292
Africa,Namibia,2008,31.4,10.6,-7.3,2.08,1.35,2123842,66582,22513,-15462,44070,28608
Africa,Namibia,2009,31,10.1,-7.2,2.09,1.38,2152941,66720,21659,-15458,45061,29603
Africa,Niger,2008,51.2,15.1,-0.7,3.61,3.54,14238664,729162,215004,-10109,514158,504049
Africa,Niger,2009,50.2,14.5,-0.7,3.57,3.5,14748785,740536,214152,-10177,526384,516207
Africa,Nigeria,2008,40.8,13.2,-0.3,2.77,2.74,157151867,6414939,2068119,-47146,4346821,4299675
Africa,Nigeria,2009,40.1,12.7,-0.3,2.74,2.71,161490795,6480626,2054163,-50062,4426463,4376401
Africa,Rwanda,2008,38.1,8.6,-4.6,2.95,2.49,9501799,361924,82001,-43423,279923,236500
Africa,Rwanda,2009,37.4,8.2,-11.6,2.93,1.77,9705671,363186,79198,-112780,283988,171208
Africa,"SaintHelena,Ascension,andTristandaCunha",2008,11.5,6.6,0,0.49,0.49,7601,87,50,0,37,37
Africa,"SaintHelena,Ascension,andTristandaCunha",2009,11.1,6.7,0,0.45,0.45,7637,85,51,0,34,34
Africa,SaoTomeandPrincipe,2008,40.8,9,-9.9,3.18,2.18,168415,6863,1511,-1674,5352,3678
Africa,SaoTomeandPrincipe,2009,39.9,8.7,-9.7,3.12,2.15,172103,6870,1497,-1675,5373,3698
