Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
World,Afghanistan,2009,40.1,15.3,-1.9,2.47,2.28,28483631,1140769,436939,-54119,703831,649712
World,Albania,2009,11.6,5.7,-5.5,0.59,0.05,2982540,34597,16911,-16344,17686,1342
World,Algeria,2009,24.1,4.3,-1,1.98,1.88,35268128,848904,151653,-33857,697251,663393
World,AmericanSamoa,2009,24.6,5.8,-26.3,1.88,-0.76,55961,1375,324,-1474,1051,-423
World,Andorra,2009,10.4,5.9,6.9,0.45,1.14,83888,868,494,578,374,952
World,Angola,2009,47,11.5,2.8,3.54,3.82,21803771,1023905,251179,60178,772726,832904
World,Anguilla,2009,13,4.4,14.1,0.87,2.27,14438,188,63,203,125,328
World,AntiguaandBarbuda,2009,16.6,5.9,2.4,1.07,1.3,85632,1421,509,204,912,1116
World,Argentina,2009,18.2,8.3,-0.2,0.99,0.97,40943942,745180,339835,-9827,405345,395518
World,Armenia,2009,14.4,9.1,-6,0.53,-0.07,3074268,44146,27853,-18476,16294,-2183
World,Aruba,2009,12.8,7.7,9.7,0.51,1.48,103065,1318,795,1000,524,1523
World,Australia,2009,12.5,6.7,6.2,0.57,1.2,21262641,265145,143310,132466,121835,254301
World,Austria,2009,9.1,9.2,2,-0.01,0.19,8428464,76362,77373,17025,-1011,16014
World,Azerbaijan,2009,17.4,7.2,0.1,1.02,1.03,9206777,160290,66565,921,93725,94646
World,"Bahamas,The",2009,16.4,7.2,0,0.93,0.93,307552,5047,2202,0,2845,2845
World,Bahrain,2009,15.1,2.6,19.2,1.25,3.18,1144365,17303,2952,22006,14350,36356
World,Bangladesh,2009,21.1,5.3,-4.2,1.58,1.16,144954330,3059986,769707,-607359,2290278,1682920
World,Barbados,2009,12.6,8.4,-0.3,0.41,0.38,284589,3572,2393,-88,1178,1090
World,Belarus,2009,11.3,13.9,1.3,-0.27,-0.14,9696333,109278,135070,12217,-25792,-13575
World,Belgium,2009,11.8,9.7,5.6,0.21,0.77,10777618,127176,104543,60462,22633,83095
World,Belize,2009,28,4.6,1,2.34,2.44,319143,8926,1458,332,7468,7800
World,Benin,2009,39.2,9.5,0,2.98,2.98,8791832,344816,83083,0,261733,261733
World,Bermuda,2009,11.6,7.3,2.2,0.43,0.65,67835,784,495,149,289,438
World,Bhutan,2009,20.1,7.4,0,1.27,1.27,691141,13871,5108,0,8764,8764
World,Bolivia,2009,25.8,7.1,-1.1,1.88,1.77,9775246,252397,68915,-10264,183481,173217
World,BosniaandHerzegovina,2009,8.9,9,-0.4,-0.01,-0.05,3886938,34555,34905,-1438,-350,-1788
World,Botswana,2009,25.8,12,3.2,1.39,1.71,1944488,50246,23295,6242,26951,33192
World,Brazil,2009,16.2,6.4,-0.2,0.98,0.95,194019058,3139228,1243662,-44624,1895566,1850942
World,Brunei,2009,18.2,3.3,2.7,1.49,1.76,388190,7065,1277,1044,5788,6832
World,Bulgaria,2009,10.9,14.6,-0.9,-0.36,-0.46,7427946,81113,108077,-6908,-26963,-33871
World,BurkinaFaso,2009,43.9,11.3,-3.7,3.27,2.9,15185326,667091,171139,-55882,495953,440071
World,Burma,2009,21.2,8.3,-7.2,1.28,0.57,51017774,1080046,425488,-366308,654558,288250
World,Burundi,2009,43.8,11.6,0,3.22,3.23,8831095,387067,102352,0,284715,284715
World,CaboVerde,2009,22.2,6.5,-0.7,1.57,1.5,501182,11131,3248,-341,7884,7543
World,Cambodia,2009,26.2,8.3,-0.4,1.78,1.75,14206230,371493,118054,-4972,253439,248467
World,Cameroon,2009,38.9,12,0.9,2.69,2.77,20262861,787820,243762,17831,544058,561889
World,Canada,2009,10.3,7.7,5.6,0.25,0.82,33487208,344248,259191,188533,85058,273590
World,CaymanIslands,2009,12.4,4.9,16.5,0.75,2.39,49035,606,240,808,366,1174
World,CentralAfricanRepublic,2009,37.1,15.6,0,2.15,2.15,4741916,175925,73974,0,101951,101951
