,ROG3,Ctry,PeopleID3,ROP3,PeopNameAcrossCountries,PeopNameInCountry,Population,JPScale,LeastReached,ROL3,PrimaryLanguageName,BibleStatus,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,CountOfCountries,RegionCode,RegionName,ROG2,Continent,10_40Window,IndigenousCode,WorkersNeeded,Frontier,Latitude,Longitude,geometry
0,AF,Afghanistan,14372,107989,"Afghani, Tajik","Afghani, Tajik",9801000,1,Y,prs,Dari,5,6,Islam,0.01,0.01,14,A005,Persian-Median,268,C0179,Persian,2,5,"Asia, Central",ASI,Asia,Y,Y,196,Y,31.15621,62.14612,
1,AF,Afghanistan,19409,100096,Afshari,Afshari,14000,1,Y,azb,"Azerbaijani, South",5,6,Islam,0.039,0.039,24,A015,Turkic Peoples,126,C0028,Azerbaijani,2,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.44796,69.28976,
2,AF,Afghanistan,21454,118270,Aimaq,Aimaq,1491000,1,Y,aiq,Aimaq,1,6,Islam,0,0,14,A005,Persian-Median,105,C0007,Aimaq,2,5,"Asia, Central",ASI,Asia,Y,Y,30,Y,35.00501,63.128594,
3,AF,Afghanistan,15741,110448,"Americans, U.S.","Americans, U.S.",12000,5,N,eng,English,5,1,Christianity,84.5,30,18,A009,North American Peoples,109,C0011,Anglo-American,104,5,"Asia, Central",ASI,Asia,Y,N,,N,34.528621,69.168549,
4,AF,Afghanistan,16221,111334,Ansari,Ansari,2300,1,Y,urd,Urdu,5,6,Islam,0,0,21,A012,South Asian Peoples,312,C0224,Urdu Muslim,6,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.54777,69.3198,
5,AF,Afghanistan,15202,109734,"Arab, Tajiki","Arab, Tajiki",16000,1,Y,abh,"Arabic, Tajiki Spoken",1,6,Islam,0.2,0.2,10,A001,Arab World,324,C0237,"Arab World, general",2,5,"Asia, Central",ASI,Asia,Y,N,1,N,36.9447,66.80422,
6,AF,Afghanistan,16239,111360,Arora (Hindu traditions),Arora (Hindu traditions),1400,1,Y,skr,Saraiki,4,5,Hinduism,0,0,21,A012,South Asian Peoples,187,C0091,Hindi,3,5,"Asia, Central",ASI,Asia,Y,N,1,Y,36.187213,70.980606,
7,AF,Afghanistan,15356,110770,"Baloch, Western","Baloch, Western",437000,1,Y,bgn,"Balochi, Western",3,6,Islam,0.009,0.009,14,A005,Persian-Median,129,C0031,Baloch,3,5,"Asia, Central",ASI,Asia,Y,Y,9,Y,30.24139,63.20176,
8,AF,Afghanistan,19423,115168,Bania (Muslim traditions),Bania (Muslim traditions),6000,1,Y,urd,Urdu,5,6,Islam,0.23,0.2,21,A012,South Asian Peoples,281,C0192,Sindhi,1,5,"Asia, Central",ASI,Asia,Y,N,1,N,34.375787,69.435276,
9,AF,Afghanistan,16521,111696,Brahmin,Brahmin,3500,1,Y,urd,Urdu,5,5,Hinduism,0,0,21,A012,South Asian Peoples,357,,Brahmin,7,5,"Asia, Central",ASI,Asia,Y,N,1,Y,34.294237,69.392519,
