X,Y,LandArea,TotalLanguageRichness,ThreatenedLanguageRichness,ExtinctLanguageRichness,ProportionThreatened,ProportionExtinct
-17271041.97,7236470.1,NA,0,0,0,,
-17078069.44,7236470.1,NA,0,0,0,,
-16885096.9,7236470.1,NA,0,0,0,,
-16692124.36,7236470.1,NA,0,0,0,,
-16499151.83,7236470.1,NA,0,0,0,,
-16306179.29,7236470.1,NA,0,0,0,,
-16113206.76,7236470.1,NA,0,0,0,,
-15920234.22,7236470.1,NA,0,0,0,,
-15727261.68,7236470.1,NA,0,0,0,,
-15534289.15,7236470.1,NA,0,0,0,,
-15341316.61,7236470.1,NA,0,0,0,,
-15148344.08,7236470.1,NA,0,0,0,,
-14955371.54,7236470.1,NA,0,0,0,,
-14762399,7236470.1,NA,0,0,0,,
-14569426.47,7236470.1,NA,0,0,0,,
-14376453.93,7236470.1,NA,0,0,0,,
-14183481.4,7236470.1,NA,0,0,0,,
-13990508.86,7236470.1,NA,0,0,0,,
-13797536.32,7236470.1,NA,0,0,0,,
-13604563.79,7236470.1,NA,0,0,0,,
-13411591.25,7236470.1,NA,0,0,0,,
-13218618.72,7236470.1,NA,0,0,0,,
-13025646.18,7236470.1,NA,0,0,0,,
-12832673.64,7236470.1,NA,0,0,0,,
-12639701.11,7236470.1,NA,0,0,0,,
-12446728.57,7236470.1,NA,0,0,0,,
-12253756.04,7236470.1,NA,0,0,0,,
-12060783.5,7236470.1,NA,0,0,0,,
-11867810.96,7236470.1,NA,0,0,0,,
-11674838.43,7236470.1,762.204834,0,0,0,,
-11481865.89,7236470.1,3699.098145,0,0,0,,
-11288893.36,7236470.1,4404.062012,0,0,0,,
-11095920.82,7236470.1,1285.449219,0,0,0,,
-10902948.28,7236470.1,2710.402832,0,0,0,,
-10709975.75,7236470.1,4964.349121,0,0,0,,
-10517003.21,7236470.1,1345.248047,0,0,0,,
-10324030.68,7236470.1,9.042470932,0,0,0,,
-10131058.14,7236470.1,3501.912842,0,0,0,,
-9938085.604,7236470.1,4363.692871,0,0,0,,
-9745113.068,7236470.1,5086.916992,0,0,0,,
-9552140.532,7236470.1,2745.162842,0,0,0,,
-9359167.996,7236470.1,5225.053223,0,0,0,,
-9166195.46,7236470.1,11052.2002,0,0,0,,
-8973222.924,7236470.1,12060.20313,0,0,0,,
-8780250.388,7236470.1,14526.375,0,0,0,,
-8587277.852,7236470.1,15165.8623,0,0,0,,
-8394305.316,7236470.1,18472.30469,0,0,0,,
-8201332.78,7236470.1,21261.49414,0,0,0,,
-8008360.244,7236470.1,22867.03711,0,0,0,,
-7815387.708,7236470.1,25127.89453,0,0,0,,
-7622415.172,7236470.1,25196.80469,0,0,0,,
-7429442.636,7236470.1,19413.66211,0,0,0,,
-7236470.1,7236470.1,15901.69629,0,0,0,,
-7043497.564,7236470.1,13597.47266,0,0,0,,
-6850525.028,7236470.1,17151.46094,0,0,0,,
-6657552.492,7236470.1,18755.84766,0,0,0,,
-6464579.956,7236470.1,19400.48047,0,0,0,,
-6271607.42,7236470.1,23236.17773,0,0,0,,
-6078634.884,7236470.1,24214.80078,0,0,0,,
-5885662.348,7236470.1,23889.93359,0,0,0,,
-5692689.812,7236470.1,24949.75586,0,0,0,,
-5499717.276,7236470.1,25636.91406,0,0,0,,
-5306744.74,7236470.1,26133.15039,0,0,0,,
-5113772.204,7236470.1,25301.46094,0,0,0,,
-4920799.668,7236470.1,25464.33008,0,0,0,,
-4727827.132,7236470.1,26564.16992,0,0,0,,
-4534854.596,7236470.1,26616.10352,0,0,0,,
-4341882.06,7236470.1,27151.88867,0,0,0,,
-4148909.524,7236470.1,28679.5293,0,0,0,,
-3955936.988,7236470.1,28424.37109,0,0,0,,
-3762964.452,7236470.1,28920.30664,0,0,0,,
-3569991.916,7236470.1,29766.03125,0,0,0,,
-3377019.38,7236470.1,29928.89453,0,0,0,,
-3184046.844,7236470.1,29648.34961,0,0,0,,
-2991074.308,7236470.1,29307.35547,0,0,0,,
-2798101.772,7236470.1,29014.47656,0,0,0,,
-2605129.236,7236470.1,28721.75,0,0,0,,
-2412156.7,7236470.1,27111.44727,0,0,0,,
-2219184.164,7236470.1,25464.46875,0,0,0,,
-2026211.628,7236470.1,18961.71289,0,0,0,,
-1833239.092,7236470.1,11624.3623,0,0,0,,
-1640266.556,7236470.1,5638.402832,0,0,0,,
-1447294.02,7236470.1,4079.905273,0,0,0,,
-1254321.484,7236470.1,2199.424805,0,0,0,,
-1061348.948,7236470.1,190.9299927,0,0,0,,
-868376.412,7236470.1,NA,0,0,0,,
-675403.876,7236470.1,NA,0,0,0,,
-482431.34,7236470.1,NA,0,0,0,,
-289458.804,7236470.1,NA,0,0,0,,
-96486.268,7236470.1,NA,0,0,0,,
96486.268,7236470.1,NA,0,0,0,,
289458.804,7236470.1,NA,0,0,0,,
482431.34,7236470.1,NA,0,0,0,,
675403.876,7236470.1,NA,0,0,0,,
868376.412,7236470.1,NA,0,0,0,,
1061348.948,7236470.1,2371.134033,0,0,0,,
1254321.484,7236470.1,6524.678223,0,0,0,,
1447294.02,7236470.1,9785.767578,0,0,0,,
1640266.556,7236470.1,14050.93555,0,0,0,,
1833239.092,7236470.1,7678.189453,0,0,0,,
2026211.628,7236470.1,7329.447266,0,0,0,,
2219184.164,7236470.1,7601.954102,0,0,0,,
2412156.7,7236470.1,4102.355469,0,0,0,,
2605129.236,7236470.1,1106.857178,0,0,0,,
2798101.772,7236470.1,273.633606,0,0,0,,
2991074.308,7236470.1,28.13628387,0,0,0,,
3184046.844,7236470.1,158.809082,0,0,0,,
3377019.38,7236470.1,NA,0,0,0,,
3569991.916,7236470.1,12.21030426,0,0,0,,
3762964.452,7236470.1,NA,0,0,0,,
3955936.988,7236470.1,NA,0,0,0,,
4148909.524,7236470.1,NA,0,0,0,,
4341882.06,7236470.1,194.3127441,0,0,0,,
4534854.596,7236470.1,1119.822632,0,0,0,,
4727827.132,7236470.1,1789.615967,0,0,0,,
4920799.668,7236470.1,1364.401611,0,0,0,,
5113772.204,7236470.1,650.4139404,0,0,0,,
5306744.74,7236470.1,1370.840576,0,0,0,,
5499717.276,7236470.1,3381.224609,0,0,0,,
5692689.812,7236470.1,2327.262207,0,0,0,,
5885662.348,7236470.1,2073.320068,0,0,0,,
6078634.884,7236470.1,1054.403076,0,0,0,,
6271607.42,7236470.1,1061.740356,0,0,0,,
6464579.956,7236470.1,1835.070068,0,0,0,,
6657552.492,7236470.1,916.9543457,0,0,0,,
6850525.028,7236470.1,NA,0,0,0,,
7043497.564,7236470.1,NA,0,0,0,,
7236470.1,7236470.1,NA,0,0,0,,
7429442.636,7236470.1,282.3595276,0,0,0,,
7622415.172,7236470.1,277.9430542,0,0,0,,
7815387.708,7236470.1,NA,0,0,0,,
8008360.244,7236470.1,32.76275635,0,0,0,,
8201332.78,7236470.1,NA,0,0,0,,
8394305.316,7236470.1,NA,0,0,0,,
8587277.852,7236470.1,210.4971008,0,0,0,,
8780250.388,7236470.1,1048.698853,0,0,0,,
8973222.924,7236470.1,3792.950684,0,0,0,,
9166195.46,7236470.1,8226.225586,0,0,0,,
9359167.996,7236470.1,7959.103027,0,0,0,,
9552140.532,7236470.1,5267.937012,0,0,0,,
9745113.068,7236470.1,5421.649902,0,0,0,,
9938085.604,7236470.1,10031.55176,0,0,0,,
10131058.14,7236470.1,6912.512207,0,0,0,,
10324030.68,7236470.1,1991.358765,0,0,0,,
10517003.21,7236470.1,902.0812988,0,0,0,,
10709975.75,7236470.1,790.3548584,0,0,0,,
10902948.28,7236470.1,79.12950134,0,0,0,,
11095920.82,7236470.1,NA,0,0,0,,
11288893.36,7236470.1,NA,0,0,0,,
11481865.89,7236470.1,NA,0,0,0,,
11674838.43,7236470.1,NA,0,0,0,,
11867810.96,7236470.1,NA,0,0,0,,
12060783.5,7236470.1,NA,0,0,0,,
12253756.04,7236470.1,NA,0,0,0,,
12446728.57,7236470.1,NA,0,0,0,,
12639701.11,7236470.1,NA,0,0,0,,
12832673.64,7236470.1,NA,0,0,0,,
13025646.18,7236470.1,NA,0,0,0,,
13218618.72,7236470.1,NA,0,0,0,,
13411591.25,7236470.1,NA,0,0,0,,
13604563.79,7236470.1,NA,0,0,0,,
13797536.32,7236470.1,NA,0,0,0,,
13990508.86,7236470.1,NA,0,0,0,,
14183481.4,7236470.1,NA,0,0,0,,
