Name in English,Number of speakers,Degree of endangerment
South Italian,7500000,Vulnerable
Sicilian,5000000,Vulnerable
Low Saxon,4800000,Vulnerable
Belarusian,4000000,Vulnerable
Lombard,3500000,Definitely endangered
Romani,3500000,Definitely endangered
Yiddish (Israel),3000000,Definitely endangered
Gondi,2713790,Vulnerable
Limburgian-Ripuarian,2600000,Vulnerable
Quechua of Southern Bolivia,2300000,Vulnerable
Kumaoni,2003783,Vulnerable
Aymara,2000000,Vulnerable
Emilian-Romagnol,2000000,Definitely endangered
Piedmontese,2000000,Definitely endangered
Venetan,2000000,Vulnerable
Zazaki,2000000,Vulnerable
Kurux (India),1751489,Vulnerable
Tamajeq,1750000,Vulnerable
Tulu,1722768,Vulnerable
Kangdi,1700000,Definitely endangered
Scots,1500000,Vulnerable
Torlak,1500000,Vulnerable
West Flemish,1500000,Vulnerable
Bashkir,1379727,Vulnerable
Chechen,1331844,Vulnerable
Chuvash,1325382,Vulnerable
Meithei,1250000,Vulnerable
Tamang,1196639,Vulnerable
Quechua of Cuzco,1115000,Vulnerable
Eastern Slovak,1000000,Vulnerable
Ligurian,1000000,Definitely endangered
Rusyn,1000000,Vulnerable
Talysh,1000000,Vulnerable
Kui,916222,Vulnerable
Khasi,912000,Vulnerable
Bodo,900000,Vulnerable
Campidanese,900000,Definitely endangered
K'iche' (Guatemala),890596,Vulnerable
Quechua of Ayacucho,850000,Definitely endangered
Newar,825458,Definitely endangered
Mon,800000,Vulnerable
Polesian,800000,Vulnerable
Tamaceq,800000,Definitely endangered
Avar,784840,Vulnerable
Mundari,750000,Vulnerable
Welsh,750000,Vulnerable
Angika,740892,Vulnerable
Q'eqchi' (Guatemala),716101,Vulnerable
Picard,700000,Severely endangered
Kokborok,695000,Vulnerable
Basque,660000,Vulnerable
Kabard-Cherkes,650000,Vulnerable
Mandeali,611930,Definitely endangered
Friulian,600000,Definitely endangered
Quechua of Ancash and Huánuco,600000,Definitely endangered
Walloon,600000,Definitely endangered
Mising,550000,Definitely endangered
Ossete,550000,Vulnerable
Mizo,529000,Vulnerable
Dargwa,503523,Vulnerable
Aromanian,500000,Definitely endangered
Brahui,500000,Vulnerable
Languedocian,500000,Severely endangered
Lezgian,500000,Vulnerable
Mahasui,496024,Definitely endangered
Magar,489383,Definitely endangered
Mam (Guatemala),477717,Vulnerable
Udmurt,463837,Definitely endangered
Huasteca Náhuatl,463183,Vulnerable
Kumyk,458121,Vulnerable
Yakut,456288,Vulnerable
Kaqchikel (Guatemala),444954,Vulnerable
Karbi,420000,Vulnerable
Eastern Mari,414211,Definitely endangered
Ingush,405343,Vulnerable
Erzya,400000,Definitely endangered
Ho,400000,Vulnerable
Judezmo (Israel),400000,Severely endangered
Lalo,400000,Vulnerable
Limousin,400000,Severely endangered
Logudorese,400000,Definitely endangered
Mapuche (Chile),400000,Definitely endangered
Central Náhuatl,395581,Vulnerable
Moselle Franconian,390000,Vulnerable
Bantawa,371056,Vulnerable
Santa,360000,Vulnerable
Mingrelian,350000,Definitely endangered
West Frisian,350000,Vulnerable
Gurung,338925,Definitely endangered
Guajiro,318500,Vulnerable
Karachay-Balkar,302748,Vulnerable
Adyge,300000,Vulnerable
Buryat (Trans-Baikal),300000,Definitely endangered
Kurru,300000,Definitely endangered
Kuvi,300000,Definitely endangered
Limbu,300000,Definitely endangered
Moroccan Judeo-Arabic (Israel),300000,Definitely endangered
Plautdietsch,300000,Definitely endangered
Pontic Greek,300000,Definitely endangered
"Quichua (Cotopaxi, Tungurahua and Chimborazo)",300000,Definitely endangered
Waxiang,300000,Vulnerable
Oyrat,280000,Definitely endangered
Garhwali,279500,Vulnerable
Bade,250000,Vulnerable
Breton,250000,Severely endangered
Gascon,250000,Definitely endangered
Phula (China),250000,Vulnerable
Sora,250000,Vulnerable
Konyak,248000,Vulnerable
Ao,243000,Vulnerable
Tuvan,242754,Vulnerable
Nafusi,240000,Severely endangered
Suret,240000,Definitely endangered
Malto,224926,Definitely endangered
Khowar,222800,Vulnerable
Maiya,220000,Vulnerable
Komi,217316,Definitely endangered
Alpine Provençal,200000,Definitely endangered
Gallo,200000,Severely endangered
Gera,200000,Vulnerable
Irula,200000,Vulnerable
Kharia,200000,Vulnerable
Khorasani Turk,200000,Vulnerable
Korku,200000,Vulnerable
Moksha,200000,Definitely endangered
Western Armenian (Middle East),200000,Definitely endangered
Western Cham,200000,Vulnerable
Tshangla,193000,Vulnerable
Thado,191000,Vulnerable
Gagauz (Bessarabia),180000,Definitely endangered
Kului,170770,Definitely endangered
Adi,170000,Vulnerable
Lhota,170000,Vulnerable
Nyishi,170000,Vulnerable
Ngäbere (Panama),169130,Vulnerable
Kodagu,166187,Definitely endangered
Corsican,160000,Definitely endangered
Dzongkha,160000,Vulnerable
Kalmyk,153602,Definitely endangered
Lak,153373,Vulnerable
Asturian-Leonese,150000,Definitely endangered
Latgalian,150000,Vulnerable
Provençal,150000,Severely endangered
Rabha,150000,Vulnerable
Tamzabit,150000,Vulnerable
Sherpa,143693,Vulnerable
Tangkhul,142000,Vulnerable
Q'aanjob'al,139830,Vulnerable
Badaga,134514,Definitely endangered
Angami,132000,Vulnerable
Laz,130000,Definitely endangered
Tabasaran,128391,Vulnerable
Chambeali,126589,Definitely endangered
Abkhaz,125000,Vulnerable
Phom,123000,Vulnerable
Kolami,121855,Definitely endangered
Navajo,120000,Vulnerable
Sassarese,120000,Definitely endangered
Tamahaq (Algeria),120000,Vulnerable
Konda,118597,Definitely endangered
Sierra Totonac,118367,Severely endangered
Jaunsari,114733,Definitely endangered
Dimasa,112000,Vulnerable
Ladakhi,105000,Vulnerable
Salar,104503,Vulnerable
Simi,104000,Vulnerable
Phurhepecha,102988,Vulnerable
Crimean Tatar (Crimea),100000,Severely endangered
Dagur (Nonni),100000,Definitely endangered
Francoprovençal,100000,Definitely endangered
Gallurese,100000,Definitely endangered
Mapuche (Argentina),100000,Severely endangered
Mehri,100000,Definitely endangered
Miskito (Nicaragua),100000,Vulnerable
Ordos,100000,Definitely endangered
Quechua of Northern Bolivia,100000,Vulnerable
Suba,100000,Vulnerable
Garífuna (Honduras),98000,Vulnerable
Embera (Colombia),95000,Vulnerable
Kabui,95000,Vulnerable
Shughni,95000,Vulnerable
Permyak,94328,Definitely endangered
Poqomchi',92941,Vulnerable
Yimchungru,92000,Vulnerable
Nogay (Caucasus),90020,Definitely endangered
Heiban,90000,Vulnerable
Quichua (Cañar and Azuay),90000,Severely endangered
Mezquital Otomí,88789,Definitely endangered
Eastern Mazahua,88001,Definitely endangered
Burushaski,87000,Vulnerable
Central Otomí,84593,Definitely endangered
Chokri,84000,Vulnerable
Sangtam,84000,Vulnerable
Ixil (Guatemala),83574,Vulnerable
Achi',82640,Vulnerable
Yem,81613,Vulnerable
Mao,81000,Vulnerable
Arbëresh,80000,Definitely endangered
Lari,80000,Definitely endangered
Páez,80000,Definitely endangered
Quechua of Santiago del Estero,80000,Definitely endangered
Svan,80000,Definitely endangered
Tai Daeng,80000,Vulnerable
Taznatit,80000,Severely endangered
Razihi,75000,Definitely endangered
Wakhi,75000,Definitely endangered
Bishnupriya Manipuri Creole,72899,Vulnerable
Acheron,70000,Severely endangered
Maori,70000,Vulnerable
Tai Neua,70000,Vulnerable
Bhadravahi,66918,Definitely endangered
Kinnauri,65097,Definitely endangered
Gallo-Sicilian,65000,Definitely endangered
Kurux (Bangladesh),65000,Vulnerable
Tz'utujil,63237,Definitely endangered
Chamorro,62500,Vulnerable
Ashaninka (Peru),62468,Vulnerable
Chang,62000,Vulnerable
Kuna (Panama),61703,Vulnerable
Churahi,61199,Definitely endangered
Nruanghmei,61000,Vulnerable
Rengma,61000,Vulnerable
Faroese,60000,Vulnerable
Northern Tujia,60000,Severely endangered
Torwali,60000,Definitely endangered
Chuj (Guatemala),59048,Vulnerable
Kachari,59000,Definitely endangered
Scottish Gaelic,58552,Definitely endangered
Sierra de Puebla Náhuatl,57189,Definitely endangered
Limonese Creole,55000,Definitely endangered
Kashubian,53000,Severely endangered
Khakas,52217,Definitely endangered
Parji,51216,Critically endangered
Arvanitika,50000,Severely endangered
Buryat (Cis-Baikal),50000,Severely endangered
Buryat (Manchuria),50000,Definitely endangered
Cuona Menba,50000,Vulnerable
Eastern Cham,50000,Definitely endangered
Hmar,50000,Vulnerable
Huzhu Monguor,50000,Severely endangered
Paite,50000,Vulnerable
Quichua (Imbabura),50000,Definitely endangered
Soqotri,50000,Severely endangered
Southern Altay,50000,Definitely endangered
