bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,7,0,0,,207,207,bnn,bunu1267,{},23.4116,language,121.025,,Bunun,"(('Takbanuaz [tako1237]':1,'Takivatan [taki1251]':1)'Central Bunun [cent2105]':1,('Takibakha [taki1252]':1,'Takituduh [taki1253]':1)'North Bunun [nort2902]':1,'South Bunun [sout2930]':1)'Bunun [bunu1267][bnn]-l-':1",847,vulnerable
False,2,0,0,,207,207,pyu,puyu1239,{},22.643,language,120.996,,Puyuma,"('Nanwang [nanw1237]':1,'Pinan [pina1251]':1)'Puyuma [puyu1239][pyu]-l-':1",848,severely endangered
False,0,0,0,,207,207,pwn,paiw1248,{},22.3271,language,120.806,,Paiwan,'Paiwan [paiw1248][pwn]-l-':1,849,vulnerable
False,6,0,0,,207,207,dru,ruka1240,{},22.7738,language,120.844,,Rukai,"('Budai [buda1252]':1,'Labuan [labu1252]':1,'Maga [maga1265]':1,'Mantauran [mant1271]':1,'Tanan [tana1287]':1,'Tona [tona1238]':1)'Rukai [ruka1240][dru]-l-':1",850,vulnerable
False,3,0,0,,207,841,trv,taro1264,{},23.9032,language,121.358,,Seediq,"('Te''uda [teud1237]':1,'Tekedaya [teke1282]':1,'Teruku [teru1237]':1)'Seediq [taro1264][trv]-l-':1",2648,critically endangered
False,2,0,0,,207,841,tay,atay1247,{},24.5209,language,121.388,,Atayal,"('Mayrinax [mayr1237]':1,'Sqoleq [sqol1237]':1)'Atayal [atay1247][tay]-l-':1",2649,vulnerable
False,5,0,0,,207,842,tsu,tsou1248,{},23.216,language,120.787,,Tsou,"('Duhtu [duht1237]':1,'Iimutsu [iimu1237]':1,'Luhtu [luht1237]':1,'Tapangu [tapa1257]':1,'Tfuea [tfue1237]':1)'Tsou [tsou1248][tsu]-l-':1",2651,definitely endangered
False,0,0,0,,207,843,pau,pala1344,{},7.34138,language,134.476678,,Palauan,'Palauan [pala1344][pau]-l-':1,2656,safe
False,0,0,0,,207,843,nsy,nasa1239,{},,language,,,Nasal,'Nasal [nasa1239][nsy]-l-':1,2659,vulnerable
False,2,0,0,,207,843,atk,atii1237,{},11.1539,language,122.512,,Ati,"('Barotac Viejo Nagpana [baro1255]':1,'Malay {Ati} [mala1492]':1)'Ati [atii1237][atk]-l-':1",2667,definitely endangered
False,0,0,0,,207,843,eno,engg1245,{},-5.38846,language,102.245,,Enggano,'Enggano [engg1245][eno]-l-':1,2670,definitely endangered
False,2,0,0,,207,843,cha,cham1312,{},13.438011,language,144.74474,,Chamorro,"('Nuclear Chamorro [nucl1565]':1,'Rotanese Chamorro [rota1237]':1)'Chamorro [cham1312][cha]-l-':1",2672,vulnerable
