ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded
AF,Afghanistan,36278833,72,67,36260154,1,pbt,"Pashto, Southern",6,Islam,0.05799778951,0.02615294513,Y,ASI,Asia,5,"Asia, Central",27,32,AFG,36373000,764
AL,Albania,2902100,16,3,40216,2,aln,"Albanian, Gheg",6,Islam,26.29642437,0.6052366007,Y,EUR,Europe,9,"Europe, Eastern and Eurasia",60,97,ALB,2934000,3
AG,Algeria,41948010,40,36,41916649,1,arb,"Arabic, Standard",6,Islam,1.482600842,1.293296552,Y,AFR,Africa,6,"Africa, North and Middle East",73,80,DZA,42008000,854
AQ,American Samoa,55211,9,1,982,5,smo,Samoan,1,Christianity,95.41698571,24.84134032,N,SOP,Oceania,1,Australia and Pacific,87,97,ASM,56000,1
AN,Andorra,76378,10,2,1108,3,cat,Catalan,1,Christianity,90.59662701,1.35771398,N,EUR,Europe,10,"Europe, Western",88,99,AND,77000,2
AO,Angola,30753141,62,1,363129,5,por,Portuguese,1,Christianity,91.37296389,24.31141773,N,AFR,Africa,7,"Africa, East and Southern",66,70,AGO,30774000,7
AV,Anguilla,14519,5,,,5,eng,English,1,Christianity,90.58407404,33.51214385,N,NAR,North America,12,"America, North and Caribbean",100,95,AIA,15000,
AC,Antigua and Barbuda,101843,5,,,5,eng,English,1,Christianity,92.93201114,24.84956325,N,NAR,North America,12,"America, North and Caribbean",25,97,ATG,103000,
AR,Argentina,44616922,84,2,184067,5,spa,Spanish,1,Christianity,93.07725474,11.04138533,N,LAM,South America,11,"America, Latin",92,98,ARG,44689000,5
AM,Armenia,2888119,16,4,38289,4,hye,Armenian,1,Christianity,94.50594238,9.671993219,N,EUR,Europe,5,"Asia, Central",63,99,ARM,2934000,4
AA,Aruba,105069,9,,,4,nld,Dutch,1,Christianity,95.47532528,9.892979562,N,NAR,North America,12,"America, North and Caribbean",43,98,ABW,106000,
AS,Australia,24688781,184,20,856340,5,eng,English,1,Christianity,65.5690142,14.46363164,N,AUS,Australia,1,Australia and Pacific,86,99,AUS,24768000,24
AU,Austria,8708873,44,8,348427,3,deu,"German, Standard",1,Christianity,82.88502489,0.595123084,N,EUR,Europe,10,"Europe, Western",58,98,AUT,8752000,10
AJ,Azerbaijan,9904259,38,24,9576829,1,azj,"Azerbaijani, North",6,Islam,2.649781537,0.2482048384,Y,ASI,Asia,5,"Asia, Central",56,99,AZE,9924000,206
BF,Bahamas,396976,9,,,5,eng,English,1,Christianity,94.4590806,39.66037439,N,NAR,North America,12,"America, North and Caribbean",83,97,BHS,399000,
BA,Bahrain,1546278,16,7,1200739,4,arb,"Arabic, Standard",6,Islam,8.289984971,2.503238819,Y,ASI,Asia,6,"Africa, North and Middle East",89,95,BHR,1567000,26
BG,Bangladesh,165662690,325,293,163675910,1,ben,Bengali,6,Islam,0.3426056953,,Y,ASI,Asia,4,"Asia, South",37,58,BGD,166368000,3467
BB,Barbados,282353,5,1,3989,5,eng,English,1,Christianity,92.61343252,33.59751573,N,NAR,North America,12,"America, North and Caribbean",31,99,BRB,286000,1
BO,Belarus,9414102,26,5,31100,3,bel,Belarusian,1,Christianity,69.40003235,1.673885805,N,EUR,Europe,9,"Europe, Eastern and Eurasia",79,100,BLR,9452000,5
BE,Belgium,11428089,91,26,935446,3,vls,Vlaams,1,Christianity,64.25929424,1.42088517,N,EUR,Europe,10,"Europe, Western",98,100,BEL,11499000,37
BH,Belize,360235,13,1,3399,5,eng,English,1,Christianity,85.99857187,23.38979049,N,NAR,North America,11,"America, Latin",46,89,BLZ,382000,1
BN,Benin,11453095,63,13,2144183,4,fra,French,1,Christianity,31.56935698,7.469788369,Y,AFR,Africa,8,"Africa, West and Central",47,38,BEN,11486000,48
BD,Bermuda,59898,7,,,5,eng,English,1,Christianity,91.65506197,26.3143903,N,NAR,North America,12,"America, North and Caribbean",100,98,BMU,61000,
BT,Bhutan,813388,74,71,810228,1,dzo,Dzongkha,2,Buddhism,0.297583943,,Y,ASI,Asia,4,"Asia, South",41,65,BTN,817000,77
BL,Bolivia,11166228,48,2,2826,5,spa,Spanish,1,Christianity,92.44305044,19.33952355,N,LAM,South America,11,"America, Latin",69,93,BOL,11216000,2
BK,Bosnia-Herzegovina,3490440,12,3,1637503,2,bos,Bosnian,6,Islam,44.40280237,0.1706959094,N,EUR,Europe,9,"Europe, Eastern and Eurasia",48,99,BIH,3504000,34
BC,Botswana,2270855,46,,,4,eng,English,1,Christianity,65.51408768,8.258300686,N,AFR,Africa,7,"Africa, East and Southern",69,85,BWA,2333000,
BR,Brazil,210727164,316,38,116384,5,por,Portuguese,1,Christianity,89.54587643,24.55964406,N,LAM,South America,11,"America, Latin",87,98,BRA,210868000,38
IO,British Indian Ocean Territory,2950,2,,,5,eng,English,1,Christianity,78.23333333,33.26666667,N,ASI,Asia,4,"Asia, South",,,IOT,3000,
VI,British Virgin Islands,31282,4,,,5,eng,English,1,Christianity,90.66161688,28.7745625,N,NAR,North America,12,"America, North and Caribbean",48,98,VGB,32000,
BX,Brunei,424196,24,8,236964,4,zlm,Malay,6,Islam,11.70076834,5.287969986,Y,ASI,Asia,2,"Asia, Southeast",78,96,BRN,434000,11
BU,Bulgaria,6992600,31,8,640021,3,bul,Bulgarian,1,Christianity,82.39471252,1.981051259,N,EUR,Europe,9,"Europe, Eastern and Eurasia",75,98,BGR,7037000,18
UV,Burkina Faso,19705785,81,27,4966228,5,fra,French,6,Islam,20.50120731,10.24440877,Y,AFR,Africa,8,"Africa, West and Central",29,36,BFA,19752000,114
BY,Burundi,11162630,12,3,17946,5,run,Rundi,1,Christianity,92.61803677,29.83973949,N,AFR,Africa,7,"Africa, East and Southern",13,85,BDI,11216000,3
CB,Cambodia,16195247,43,31,16087661,1,khm,Khmer,2,Buddhism,3.16897256,1.767545679,Y,ASI,Asia,2,"Asia, Southeast",23,77,KHM,16246000,342
CM,Cameroon,24590362,292,17,3512336,4,fra,French,1,Christianity,52.96871892,9.197444113,N,AFR,Africa,8,"Africa, West and Central",56,75,CMR,24678000,78
CA,Canada,36864238,276,50,1929811,4,eng,English,1,Christianity,72.94928634,7.975190367,N,NAR,North America,12,"America, North and Caribbean",81,99,CAN,36954000,74
